utterance,intent
Once you go Fever Tree you never go back,not sarcastic
Fun fact: Nelson Mandela once played John Wilkes Booth in a prison theatre production #themoreyouknow,not sarcastic
Excited it's almost Thanksgiving!,not sarcastic
Haven't been on this twitter in forever!,not sarcastic
men are so grimey,not sarcastic
Desperately need to go on a road trip around America,not sarcastic
The last football game I went too. 1 year today. What a night 🟡🟢 #NCFC https://t.co/82mdwMKI3f,not sarcastic
@vaesfa @RepTenney Agree with all that he said with the previso that civilians and arms leave before the last of the troops left....that was Biden's huge error,not sarcastic
"After 22 hours of travelling, it’s so nice to be home🥰",not sarcastic
"Spiritfarer is so good, I bought it several months ago but finally started it tonight #gamer",not sarcastic
Just got off the phone with the human trafficking network again. The woman on the phone was super nice and loved my usual one liner antics. ♡,not sarcastic
can’t believe I’m weighing up spending £12.50 on a hotel chocolate advent calendar for myself ... but the heart wants what it wants 😕,not sarcastic
Wow how do y’all watch basketball just a bunch of dudes running around and bouncing a ball what a snore fest,not sarcastic
"Watching all these important venues closing over time sucks horribly, but this one hurts. Fuck. #FabricReview",not sarcastic
this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,sarcastic
I'm gonna have a breakdown.,not sarcastic
"you like ketchup but not tomatoes???

grow up",sarcastic
nothing quite says hello 2020 like hypothermia 🥳,sarcastic
I’m really looking forward to not hugging my friends and family through choice rather than by law.,sarcastic
the sexual tension between my fist and the computer screen,not sarcastic
The love island producers are RINSING the Sour Album.,not sarcastic
I miss my family’s road trips. My favorite part of our annual road trip to Canada was buying fried chicken and a banana flavored nesquik in Michigan 😂 https://t.co/sw7iUWFWBN,not sarcastic
Is it unreasonable to spend £50 on a bonsai tree? Asking for a friend 🤔,sarcastic
ok call me crazy but sometimes i swear i get a little kombucha buzz,not sarcastic
Only 65 days until baby girl is due 😀 but on the other hand SHIT ONLY 65 DAYS UNTIL SHES DUE!!,not sarcastic
Just realized I don’t have more than 3 full weeks in a row at work the rest of the year. 💁🏼‍♀️,not sarcastic
Teachers are such precious gems,not sarcastic
the curious george soundtrack radicalized me at the tender age of four,not sarcastic
Excited for this fall voxbox! #complimentary @Influenster https://t.co/8VtOfkSam5,not sarcastic
The Non-Nonconformists - I'm Just Doing My Job https://t.co/gjocqn4O8L via @YouTube,not sarcastic
"I think I’ve watched the #AfterLife outtakes more than the actual series. Both are brilliant, but the outtakes are non-stop @rickygervais cracking up and I hope there’s more of it in series 3!",not sarcastic
I was getting off the skii lift today and this dude bumped into me and goes “oh i’m sorry little guy” ?????? Im literally 20. Also a girl,not sarcastic
talking about the capitol all day like i'm in the hunger games or something,not sarcastic
Best thing to get complimented on is being tan,not sarcastic
"Nero for Wii U - Should we be thinking Journey with jellyfish? Take a look at the fantastic trailer, courtesy of @stcware ! Truly stunning.",not sarcastic
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",sarcastic
also that jacket he wore yesterday i’m gonna rip my eyes out :/,sarcastic
True bliss is laying in an ice cold bath during the hottest part of the year,not sarcastic
"As colleges begin making fall re-opening announcments, remember that if your school is reopening this fall, it's not because it's suddenly safe or the pandemic is over. 

It's because they want your money.",not sarcastic
"i am afraid that, despite all of your words and actions, you actually just hate me",not sarcastic
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",sarcastic
I’m back at my beloved Mecca Bingo and I’m very very very happy about it 🤩,not sarcastic
"I feel like influencers encouraging their fans, many of whom don’t have much money, to buy coins in something the influencer is heavily invested in is super immoral",not sarcastic
I hope the #COVIDIOTS and #antivaxxers are watching this brutal episode of Ambulance @BBCOne,not sarcastic
Lol at my life :),sarcastic
Mustard has no business being zero calories,not sarcastic
"wow, ok, unfollowing now. Was a big fan of putting your left leg in, but just heard about taking your left leg out",sarcastic
"Happy new month to all my Mutuals and Friends on here, wishing us all good health and more financial breakthrough this month.",not sarcastic
"We get it ESPN. Sawx and Yanks. 

Let's go meteor.",sarcastic
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,sarcastic
You've reached full-blown adulthood when stacking coupons on top of CashApp boosts feels like an untouchable power move,not sarcastic
Spending my Friday night being jealous of my camera roll,not sarcastic
Does the salad offset the beer(s)?,not sarcastic
@markbishopuk @DrPragyaAgarwal They are legally entitled to ask for asylum.,not sarcastic
