,run1 1 percent augmentation                                        ,run2 1 percent augmentation                                        ,run3 1 percent augmentation                                        ,run4 1 percent augmentation                                        ,run5 1 percent augmentation                                        ,average 1 percent augmentation                                        ,run1 5 percent augmentation,run2 5 percent augmentation,run3 5 percent augmentation,run4 5 percent augmentation,run5 5 percent augmentation,average 5 percent augmentation,run1 10 percent augmentation,run2 10 percent augmentation,run3 10 percent augmentation,run4 10 percent augmentation,run5 10 percent augmentation,average run5 10 percent augmentation,run1 25 percent augmentation,run2 25 percent augmentation,run3 25 percent augmentation,run4 25 percent augmentation,run5 25 percent augmentation,average 25 percent augmentation,run1 50 percent augmentation (weighted),run2 50 percent augmentation (weighted),run3 50 percent augmentation (weighted),run4 50 percent augmentation (weighted),run5 50 percent augmentation (weighted),average 50 percent augmentation (weighted),BASELINE_AVERAGES
baseline Accuracy,0.7029,0.857,0.7079,0.6907,0.6736,0.72642,0.7336,0.76,0.7429,0.7921,0.7571,0.75714,0.68,0.7586,0.7486,0.7607,0.7193,0.73344,0.6914,0.8214,0.7193,0.7307,0.7171,0.73598,0.7279,0.7686,0.7521,0.76,0.685,0.73872,0.73834
baseline Log-loss,1.7433,0.9077,1.2401,1.3405,1.5133,1.34898,1.3018,1.1209,1.1946,1.2017,1.0886,1.18152,1.4383,1.0923,1.0592,1.0471,1.2467,1.17672,1.4786,1.0067,1.1717,1.4697,1.2018,1.2657,1.371,1.0448,1.2223,1.0303,1.5805,1.24978,1.24454
baseline AUC-ROC,0.4888,0.5109,0.523,0.5103,0.4408,0.49476,0.4513,0.4976,0.5226,0.4628,0.5045,0.48776,0.4576,0.5113,0.6089,0.5341,0.4829,0.51896,0.4617,0.5307,0.5449,0.468,0.4547,0.492,0.4981,0.531,0.5335,0.4863,0.4116,0.4921,0.497116
baseline Precision,0.7567,0.756,0.7553,0.7555,0.7469,0.75408,0.7487,0.759,0.7664,0.7522,0.7571,0.75668,0.7484,0.7654,0.7753,0.7642,0.7518,0.76102,0.7458,0.7697,0.7707,0.7547,0.7427,0.75672,0.7521,0.7724,0.7577,0.7649,0.7388,0.75718,0.757136
baseline Recall,0.7029,0.8057,0.7079,0.6907,0.6736,0.71616,0.7336,0.76,0.7429,0.7921,0.7571,0.75714,0.68,0.7586,0.7486,0.7607,0.7193,0.73344,0.6914,0.8214,0.7193,0.7307,0.7171,0.73598,0.7279,0.7686,0.7521,0.76,0.685,0.73872,0.736288
baseline F-Score,0.7271,0.778,0.7295,0.7193,0.7059,0.73196,0.7409,0.7595,0.754,0.7706,0.7571,0.75642,0.7104,0.7619,0.761,0.7624,0.7346,0.74606,0.7163,0.7907,0.742,0.7422,0.7294,0.74412,0.7394,0.7705,0.7549,0.7624,0.7098,0.7474,0.745192
baseline Specificity,0.7825,0.9275,0.7908,0.7667,0.7508,0.80366,0.8325,0.8608,0.83,0.9108,0.8583,0.85848,0.7583,0.8533,0.83,0.8575,0.81,0.82182,0.7767,0.9425,0.7925,0.8233,0.815,0.83,0.8217,0.8617,0.8508,0.8558,0.7742,0.83284,0.82936
baseline  F1-Score mayority,0.818657367,0.8911128903,0.8227134807,0.8095028597,0.7976980965,0.8291634425,0.8426824125,0.8601165695,0.8469387755,0.8825191764,0.8583333333,0.8583569405,0.8024691358,0.8583403185,0.8498293515,0.8600083577,0.8318356868,0.840893588,0.8118466899,0.900477707,0.8287581699,0.8397790055,0.8316326531,0.843495935,0.838079048,0.864548495,0.8547509418,0.8594142259,0.8081774685,0.8453015309,0.8434422874
baseline F1-Score minority,0.1778656126,0.09933774834,0.1703853955,0.1783681214,0.1552680222,0.1612494724,0.1305361305,0.1557788945,0.1964285714,0.09907120743,0.15,0.1491491491,0.1578947368,0.1835748792,0.2280701754,0.1769041769,0.151187905,0.1786971831,0.1428571429,0.1319444444,0.2217821782,0.1565995526,0.1160714286,0.1569343066,0.1476510067,0.2058823529,0.1557177616,0.1804878049,0.119760479,0.1598530087,0.161176624
baseline Macro - averaged,0.4982614898,0.4952253193,0.4965494381,0.4939354905,0.4764830593,0.4952064574,0.4866092715,0.507947732,0.5216836735,0.4907951919,0.5041666667,0.5037530448,0.4801819363,0.5209575989,0.5389497635,0.5184562673,0.4915117959,0.5097953855,0.4773519164,0.5162110757,0.5252701741,0.498189279,0.4738520408,0.5002151208,0.4928650274,0.535215424,0.5052343517,0.5199510154,0.4639689738,0.5025772698,0.5023094557
